UniqueID,Q21,Q2,Q3,Q4,Q5,Q6,Q7,Q10,Q19,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q20
b6c2d8a8-58c5-4c9a-b001-7553bd930246,No,Agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral
c8adc4cb-8445-4055-b0a2-f7eb0329609f,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree
dbff032e-d555-4080-a9bc-c9584f43aba0,No,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree
c72de1ea-666c-4079-a5be-60efd927682d,No,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
0193f6eb-be16-4434-a83e-f1899966ff57,No,Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
8116cd11-8767-47f0-99e7-408395a6a112,No,Neutral,Agree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral
3a28b109-4c27-41c8-bae9-7f09332140e0,No,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Neutral,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree
3f270ef7-2d79-4fbe-b845-00695b590edc,No,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,
"4ce5c778-61fe-4147-aa04-36d5066499fc",No,Neutral,Neutral,Strongly agree,Disagree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree
"d32960c7-caed-4bab-8d67-1767906416f5",Yes,Agree,Agree,Strongly agree,Neutral,Strongly agree,Disagree,Agree,Agree,Disagree,Strongly disagree,Disagree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral
