Subject,Prebriefing_Q1,Prebriefing_Q2,Learning_Q1,Learning_Q2,Learning_Q3,Learning_Q4,Learning_Q5,Learning_Q6,Confidence_Q1,Confidence_Q2,Confidence_Q3,Confidence_Q4,Confidence_Q5,Confidence_Q6,Debriefing_Q1,Debriefing_Q2,Debriefing_Q3,Debriefing_Q4,Debriefing_Q5
1,3,3,3,2,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,3
2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3
4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,2,2,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3
6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7,3,3,3,3,3,3,NA,2,3,3,2,2,3,3,3,3,3,3,3
8,3,3,3,2,2,2,NA,2,2,2,2,2,2,2,3,3,3,3,3
9,2,2,3,2,2,3,3,3,3,3,3,2,3,3,3,2,3,2,2
10,2,3,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,3
11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12,3,3,3,1,2,2,1,3,3,3,1,3,3,3,3,3,3,3,3
13,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
14,3,3,3,2,3,2,NA,2,3,2,NA,2,3,2,3,3,3,3,3
15,2,2,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,3,3
16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
19,2,2,2,1,3,2,NA,2,2,2,1,2,2,2,3,2,2,2,2
20,3,3,3,2,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3
21,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
22,3,3,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,3
23,3,3,3,3,3,3,NA,3,3,3,2,3,3,3,3,3,3,3,3
24,2,2,3,2,3,3,NA,2,2,3,1,2,3,3,2,2,2,2,2
25,3,3,3,3,3,3,NA,3,3,3,NA,3,3,3,3,3,3,3,3
26,3,3,3,2,3,3,NA,3,2,2,2,2,2,3,3,3,3,3,3
27,3,2,3,2,3,2,3,2,3,3,2,3,2,3,3,2,3,2,3
28,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
29,3,3,3,2,2,3,2,3,3,2,2,2,3,3,3,3,3,3,3
30,3,3,3,3,3,3,NA,3,3,NA,3,3,3,3,3,3,3,3,3
31,3,3,2,2,2,2,2,2,3,2,2,3,3,2,3,3,3,3,3
32,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
33,3,3,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,3
34,3,3,3,3,3,3,NA,3,3,3,NA,3,3,3,3,3,3,3,3
35,2,3,3,2,3,NA,NA,3,3,2,2,3,2,2,3,3,2,3,3
36,3,3,3,2,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,3
37,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3
